Date,Open,High,Low,Close,Adj Close,Volume,Stock_Split,Prev_Close,Price_Change,10_day_SMA,50_day_SMA,20_day_EMA,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,Low_14,High_14,%K,%D,SMA_20,STD_20,Upper_Band,Lower_Band
2018-02-07,266.579987,272.450012,264.329987,264.559998,264.559998,8981500,1.0,265.720001,-1.1600030000000174,261.5133313333333,261.5133313333333,261.0,0.0,1.1600030000000174,3.8200020000000072,0.38666766666667246,9.879289967353403,90.8082236708388,264.329987,272.450012,2.832639062071736,2.832639062071736,264.559998,,,
2018-02-08,267.079987,267.619995,250.0,250.100006,250.100006,9306700,1.0,264.559998,-14.459992,258.65999999999997,258.65999999999997,259.0,0.0,14.459992,2.8650015000000053,3.9049987500000043,0.7336753949024957,42.31907524671068,250.0,272.450012,0.4454607863907045,1.6390499242312204,257.33000200000004,10.224758399103228,277.7795187982065,236.8804852017936
2018-02-09,253.850006,255.800003,236.110001,249.470001,249.470001,16906900,1.0,250.100006,-0.6300050000000113,256.82200019999993,256.82200019999993,257.0,0.0,0.6300050000000113,2.292001200000004,3.2500000000000058,0.7052311384615385,41.35692356039187,236.110001,272.450012,36.76388540443751,13.347328417633316,254.7100016666667,8.53616116295941,271.78232399258553,237.63767934074787
2018-02-12,252.139999,259.149994,249.0,257.950012,257.950012,8534900,1.0,249.470001,8.480011000000019,257.01000216666665,257.01000216666665,257.0,8.480011000000019,0.0,3.323336166666673,2.708333333333338,1.2270779692307696,55.098114488313186,236.110001,272.450012,60.099076469734705,32.436140886854304,255.52000425000003,7.155542025127867,269.8310883002558,241.20892019974428
2018-02-13,257.290009,261.410004,254.699997,258.269989,258.269989,6855200,1.0,257.950012,0.3199769999999944,257.19000028571423,257.19000028571423,257.0,0.3199769999999944,0.0,2.894284857142862,2.3214285714285756,1.2467688615384613,55.49163880991051,236.110001,272.450012,60.979585284110115,52.614182386094114,256.07000120000004,6.31773847829069,268.7054781565814,243.43452424341865
2018-02-14,260.470001,269.880005,260.329987,266.0,266.0,10972000,1.0,258.269989,7.73001099999999,258.29125024999996,258.29125024999996,258.0,7.73001099999999,0.0,3.498750625000003,2.0312500000000036,1.7224618461538446,63.26853941359182,236.110001,272.450012,82.25093547715213,67.77653241033231,257.725001,6.954509444386422,271.63401988877285,243.81598211122719
2018-02-15,270.029999,280.5,267.630005,280.269989,280.269989,10759700,1.0,266.0,14.26998900000001,260.7333323333333,260.7333323333333,260.0,14.26998900000001,0.0,4.695554888888893,1.8055555555555587,2.600615015384613,72.2269669007315,236.110001,280.5,99.4818404929453,80.90412041806918,260.9457135714286,10.62615927562837,282.19803212268533,239.69339502017186
2018-02-16,278.730011,281.959991,275.690002,278.519989,278.519989,8312400,1.0,280.269989,-1.75,262.51199799999995,262.51199799999995,261.0,0.0,1.75,4.225999400000004,1.800000000000003,2.347777444444443,70.12943612307693,236.110001,281.959991,92.49726772023288,91.41001456344343,263.142498,11.635781193864988,286.41406038773,239.87093561227002
2018-02-20,277.73999,285.809998,276.609985,278.549988,278.549988,7769000,1.0,278.519989,0.02999899999997524,264.9409973,263.96999709090903,262.0,0.02999899999997524,0.0,3.844544818181819,1.636363636363639,2.3494440555555527,70.14429907132347,236.110001,285.809998,85.39233312227358,92.45714711181726,264.85444133333334,12.0351247721602,288.92469087765375,240.78419178901294
2018-02-21,282.070007,286.640015,280.01001,281.040009,281.040009,9371100,1.0,278.549988,2.490021000000013,266.4729981,265.39249808333324,263.0,2.490021000000013,0.0,3.731667833333335,1.5000000000000024,2.4877785555555527,71.3284549442757,236.110001,286.640015,88.91746596389225,88.93568893546625,266.4729981,12.447798408084202,291.3685949161684,241.5774012838316
