Date,Open,High,Low,Close,Volume,Price_Range,Daily_Change,MA_10,MA_50,RSI,Upper_BB,Lower_BB,Stoch_Osc
2018-02-07,266.579987,272.450012,264.329987,264.559998,8981500,8.120024999999998,-2.0199890000000096,261.5133313333333,261.5133313333333,90.8082236708388,274.1299184650964,248.89674420157024,71.96474097564031
2018-02-08,267.079987,267.619995,250.0,250.100006,9306700,17.619995000000017,-16.97998100000001,258.65999999999997,258.65999999999997,42.31907524671068,274.0347469052368,243.2852530947632,-13.719121567657453
2018-02-09,253.850006,255.800003,236.110001,249.470001,16906900,19.690001999999993,-4.380005000000011,256.82200019999993,256.82200019999993,41.35692356039187,272.4697475489338,241.1742528510661,2.2117851277440064
2018-02-12,252.139999,259.149994,249.0,257.950012,8534900,10.149993999999992,5.810013000000026,257.01000216666665,257.01000216666665,55.098114488313186,271.03604478118007,242.98395955215324,55.94332331375277
2018-02-13,257.290009,261.410004,254.699997,258.269989,6855200,6.710007000000019,0.9799800000000118,257.19000028571423,257.19000028571423,55.49163880991051,270.0293437486885,244.35065682273995,57.64767495159775
2018-02-14,260.470001,269.880005,260.329987,266.0,10972000,9.550017999999966,5.529998999999975,258.29125024999996,258.29125024999996,63.26853941359182,271.7116439835328,244.87085651646717,106.36386136374348
2018-02-15,270.029999,280.5,267.630005,280.269989,10759700,12.869995000000017,10.239990000000034,260.7333323333333,260.7333323333333,72.2269669007315,280.02812783445796,241.4385368322086,197.37676225297156
2018-02-16,278.730011,281.959991,275.690002,278.519989,8312400,6.26998900000001,-0.21002199999998084,262.51199799999995,262.51199799999995,70.12943612307693,283.90054017358784,241.12345582641206,178.00065495196534
2018-02-20,277.73999,285.809998,276.609985,278.549988,7769000,9.200013000000013,0.8099980000000073,264.9409973,263.96999709090903,70.14429907132347,286.4479031775588,241.4920910042592,167.88538780076945
2018-02-21,282.070007,286.640015,280.01001,281.040009,9371100,6.630004999999983,-1.0299979999999778,266.4729981,265.39249808333324,71.3284549442757,288.98173948926967,241.8032566773968,179.69671071980056
2018-02-22,283.880005,284.5,274.450012,278.140015,8891500,10.049987999999985,-5.7399899999999775,267.8309997999999,266.37307630769226,68.17906295017502,290.03910753977203,242.70704507561248,148.2644976407915
2018-02-23,281.0,286.0,277.809998,285.929993,7301800,8.190001999999993,4.9299930000000245,271.41399850000005,267.7699989285714,71.55301758190072,292.7955034206571,242.7444944364857,207.338012431536
2018-02-26,288.75,295.649994,287.01001,294.160004,10268600,8.63998399999997,5.410004000000015,275.8829988,269.5293325999999,74.41861105576294,297.2287402119211,241.82992498807874,270.0044943038134
2018-02-27,294.769989,297.359985,290.589996,290.609985,9416500,6.76998900000001,-4.160004000000015,279.14899610000003,270.8468733749999,66.86541579273397,299.6080482406124,242.08569850938744,230.8627268604854
2018-02-28,293.100006,295.75,290.779999,291.380005,7653500,4.970001000000025,-1.7200010000000248,282.4599977,272.05470464705877,68.26975281630344,301.6301520634901,242.4792572306275,224.7470020060158
2018-03-01,292.75,295.25,283.829987,290.390015,11932100,11.420012999999983,-2.3599849999999947,284.8989992,273.07333299999993,83.61421007249704,303.0393337274187,243.1073322725812,199.00100755091194
2018-03-02,284.649994,301.179993,283.230011,301.049988,13345300,17.949982000000034,16.399993999999992,286.9769991,274.5457885263157,86.86391663875668,306.37112414646447,242.72045290616688,280.6136578207708
2018-03-05,302.850006,316.910004,297.600006,315.0,18986100,19.309998000000007,12.149993999999992,290.6250002,276.56849909999994,87.81651368022116,312.44122736526015,240.69577083473976,367.9564382249565
2018-03-06,319.880005,325.790009,316.5,325.220001,18525800,9.290008999999998,5.339996000000042,295.2920015,278.8852372857142,89.23004680486532,320.45737110479416,239.77562769520574,418.82932792580783
2018-03-07,320.0,323.73999,314.549988,321.160004,17132200,9.190001999999993,1.160004000000015,299.30400099999997,280.806817590909,83.77418644260659,326.5467744009728,239.2302246990272,340.9947774766867
